TYP;KIERUNEK;SHAPE_LEN;vertex_pos;vertex_index;vertex_part;vertex_part_index;distance;angle;xcoord;ycoord;
strefa ruchu uspokojonego 20 i 30 km/h;2;254.915448113;-1;15;0;15;254.9154481126991;22.594063728469372;16.99740125264551;51.07421642702114;
strefa ruchu uspokojonego 20 i 30 km/h;2;15.4762063827;0;0;0;0;0;21.41229366560641;16.99740125264551;51.07421642702114;
strefa ruchu uspokojonego 20 i 30 km/h;2;15.4762063827;-1;2;0;2;15.476206382671979;21.41229366560641;16.997479063736506;51.0743466189722;
strefa ruchu uspokojonego 20 i 30 km/h;2;54.0872853821;0;0;0;0;0;113.46621145780011;16.99668921472386;51.07440393933495;
strefa ruchu uspokojonego 20 i 30 km/h;2;54.0872853821;-1;1;0;1;54.08728538236612;113.46621145780011;16.99740125264551;51.07421642702114;
strefa ruchu uspokojonego 20 i 30 km/h;2;177.899225702;0;0;0;0;0;99.0998043754898;16.994464785714268;51.177083993405574;
strefa ruchu uspokojonego 20 i 30 km/h;2;177.899225702;-1;3;0;3;177.89922570081984;101.82934938803682;16.99695963120762;51.17677349897546;
strefa ruchu uspokojonego 20 i 30 km/h;2;145.186186782;0;0;0;0;0;114.0827760101467;17.037330213465484;51.069018193990864;
strefa ruchu uspokojonego 20 i 30 km/h;2;145.186186782;-1;6;0;6;145.18618678219983;103.69742135482821;17.039223630066438;51.06849583439989;
strefa ruchu uspokojonego 20 i 30 km/h;2;63.0612552108;0;0;0;0;0;128.56669811950738;17.03557536590496;51.06977351211797;
strefa ruchu uspokojonego 20 i 30 km/h;2;63.0612552108;-1;4;0;4;63.06125521100122;125.74303812076154;17.03629488188594;51.069433322884755;
strefa ruchu uspokojonego 20 i 30 km/h;2;86.030831932;0;0;0;0;0;123.54271413295665;17.03629488188594;51.069433322884755;
strefa ruchu uspokojonego 20 i 30 km/h;2;86.030831932;-1;5;0;5;86.03083193189102;121.59947889556793;17.037330213465484;51.069018193990864;
strefa ruchu uspokojonego 20 i 30 km/h;2;155.040078117;0;0;0;0;0;42.660276347609845;16.988425554110595;51.14516237086035;
strefa ruchu uspokojonego 20 i 30 km/h;2;155.040078117;-1;15;0;15;155.04007811766553;100.81518703234735;16.990401941639124;51.14537772424668;
strefa ruchu uspokojonego 20 i 30 km/h;2;140.130550754;0;0;0;0;0;12.833924143276606;16.987551439723962;51.144031907691996;
strefa ruchu uspokojonego 20 i 30 km/h;2;140.130550754;-1;7;0;7;140.1305507540255;30.55013551401524;16.988425554110595;51.14516237086035;
